method,model,execFolder,round,value
SAIS,demos.AnnealedMVN$Builder,exec_2,8,1201.33104789981
SAIS,demos.AnnealedMVN$Builder,exec_2,9,2500.433167755513
SAIS,demos.AnnealedMVN$Builder,exec_2,10,4941.41031054139
SAIS,demos.AnnealedMVN$Builder,exec_2,11,9488.815634667131
SAIS,demos.AnnealedMVN$Builder,exec_2,12,19206.400715350843
SAIS,demos.AnnealedMVN$Builder,exec_2,13,38477.1109525626
SAIS,demos.AnnealedMVN$Builder,exec_2,14,77250.92289915067
SAIS,demos.AnnealedMVN$Builder,exec_2,15,152448.0929264374
SAIS,demos.XY$Builder,exec_14,1,1.994042866454339
SAIS,demos.XY$Builder,exec_14,2,5.62436562336901
SAIS,demos.XY$Builder,exec_14,3,14.091897088901177
SAIS,demos.XY$Builder,exec_14,4,15.487384049622886
SAIS,demos.XY$Builder,exec_14,5,29.881738069736667
SAIS,demos.XY$Builder,exec_14,6,61.12843698246389
SAIS,demos.XY$Builder,exec_14,7,113.61347458869272
SAIS,demos.XY$Builder,exec_14,8,227.45583897181376
SAIS,demos.XY$Builder,exec_14,9,445.91374159861607
SAIS,demos.XY$Builder,exec_14,10,901.8253769018845
SAIS,demos.XY$Builder,exec_14,11,1803.7812261090755
SAIS,demos.XY$Builder,exec_14,12,3617.965050388917
SAIS,demos.XY$Builder,exec_14,13,7244.035151246105
SAIS,demos.XY$Builder,exec_14,14,14501.783910946322
SAIS,demos.XY$Builder,exec_14,15,29025.07979595892
SAIS,hier.HierarchicalRockets$Builder,exec_44,1,6.074866761593196
SAIS,hier.HierarchicalRockets$Builder,exec_44,2,6.323551243061012
SAIS,hier.HierarchicalRockets$Builder,exec_44,3,3.4340231727567287
SAIS,hier.HierarchicalRockets$Builder,exec_44,4,4.391732541926399
SAIS,hier.HierarchicalRockets$Builder,exec_44,5,13.345334796547004
SAIS,hier.HierarchicalRockets$Builder,exec_44,6,20.486054369432694
SAIS,hier.HierarchicalRockets$Builder,exec_44,7,20.870230734714173
SAIS,hier.HierarchicalRockets$Builder,exec_44,8,24.59447253576403
SAIS,hier.HierarchicalRockets$Builder,exec_44,9,47.75959498509017
SAIS,hier.HierarchicalRockets$Builder,exec_44,10,86.78091385637137
SAIS,hier.HierarchicalRockets$Builder,exec_44,11,146.560880773218
SAIS,hier.HierarchicalRockets$Builder,exec_44,12,257.0771052605798
SAIS,hier.HierarchicalRockets$Builder,exec_44,13,513.2106904460193
SAIS,hier.HierarchicalRockets$Builder,exec_44,14,978.5542362799355
SAIS,hier.HierarchicalRockets$Builder,exec_44,15,1938.877733936256
SAIS,demos.UnidentifiableProduct$Builder,exec_7,1,11.8529241023261
SAIS,demos.UnidentifiableProduct$Builder,exec_7,2,46.27883828281726
