method,model,execFolder,round,value
PT-10,hier.HierarchicalRockets$Builder,exec_42,1,-556.9194024254933
PT-10,hier.HierarchicalRockets$Builder,exec_42,2,-491.0837069311602
PT-10,hier.HierarchicalRockets$Builder,exec_42,3,-483.2816954301369
PT-10,hier.HierarchicalRockets$Builder,exec_42,4,-479.7246274171881
PT-10,hier.HierarchicalRockets$Builder,exec_42,5,-476.8567682622641
PT-10,hier.HierarchicalRockets$Builder,exec_42,6,-476.9052995549784
PT-10,hier.HierarchicalRockets$Builder,exec_42,7,-475.3714351249002
PT-10,hier.HierarchicalRockets$Builder,exec_42,8,-474.8801141544731
PT-10,hier.HierarchicalRockets$Builder,exec_42,9,-475.5486991747036
PT-10,hier.HierarchicalRockets$Builder,exec_42,10,-474.63227266789727
PT-10,hier.HierarchicalRockets$Builder,exec_42,11,-475.1162610955648
PT-10,hier.HierarchicalRockets$Builder,exec_42,12,-474.81728051450875
PT-10,hier.HierarchicalRockets$Builder,exec_42,13,-473.94334444552317
PT-10,hier.HierarchicalRockets$Builder,exec_42,14,-474.07515404920616
SAIS,glms.SpikeSlabClassification$Builder,exec_47,0,-116.82855854498109
SAIS,glms.SpikeSlabClassification$Builder,exec_47,1,-96.45994571388138
SAIS,glms.SpikeSlabClassification$Builder,exec_47,2,-109.39427323039043
SAIS,glms.SpikeSlabClassification$Builder,exec_47,3,-99.32234717640745
SAIS,glms.SpikeSlabClassification$Builder,exec_47,4,-99.70231105017723
SAIS,glms.SpikeSlabClassification$Builder,exec_47,5,-98.9665679631192
SAIS,glms.SpikeSlabClassification$Builder,exec_47,6,-101.96312771319711
SAIS,glms.SpikeSlabClassification$Builder,exec_47,7,-100.06683850708067
SAIS,glms.SpikeSlabClassification$Builder,exec_47,8,-99.99443225898469
SAIS,glms.SpikeSlabClassification$Builder,exec_47,9,-99.47041337347103
SAIS,glms.SpikeSlabClassification$Builder,exec_47,10,-99.61827580059924
SAIS,glms.SpikeSlabClassification$Builder,exec_47,11,-99.41904266431149
SAIS,glms.SpikeSlabClassification$Builder,exec_47,12,-99.30682945276632
SAIS,glms.SpikeSlabClassification$Builder,exec_47,13,-99.34355763908626
SAIS,glms.SpikeSlabClassification$Builder,exec_47,14,-99.29702501357592
SSMC,hier.HierarchicalRockets$Builder,exec_43,0,-1521.0100405915152
SSMC,hier.HierarchicalRockets$Builder,exec_43,1,-553.3188992067479
SSMC,hier.HierarchicalRockets$Builder,exec_43,2,-519.2703748057029
SSMC,hier.HierarchicalRockets$Builder,exec_43,3,-488.03582821326995
SSMC,hier.HierarchicalRockets$Builder,exec_43,4,-490.8684231166893
SSMC,hier.HierarchicalRockets$Builder,exec_43,5,-480.658586251538
SSMC,hier.HierarchicalRockets$Builder,exec_43,6,-475.90277635630235
SSMC,hier.HierarchicalRockets$Builder,exec_43,7,-475.45083904099744
SSMC,hier.HierarchicalRockets$Builder,exec_43,8,-475.01291252490216
SSMC,hier.HierarchicalRockets$Builder,exec_43,9,-473.48459803115634
SSMC,hier.HierarchicalRockets$Builder,exec_43,10,-474.5086078731626
SSMC,hier.HierarchicalRockets$Builder,exec_43,11,-474.46062626698364
SSMC,hier.HierarchicalRockets$Builder,exec_43,12,-474.51004260934735
SSMC,hier.HierarchicalRockets$Builder,exec_43,13,-474.0180763412277
SSMC,hier.HierarchicalRockets$Builder,exec_43,14,-474.23955712605476
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,0,22.735898726311188
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,1,32.63726817288393
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,2,33.70032136556293
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,3,32.25030843581861
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,4,33.44556541429208
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,5,33.260384590489394
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,6,33.60459813572202
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,7,33.53408320767389
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,8,33.19893083329286
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,9,33.39670215304022
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,10,33.31575251858504
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,11,33.38164971620394
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,12,33.39530824834756
PT-20,blang.validation.internals.fixtures.Ising$Builder,exec_22,13,33.38418325929849
SSMC,demos.PhylogeneticTree$Builder,exec_35,0,-1029.2146643591261
SSMC,demos.PhylogeneticTree$Builder,exec_35,1,-1254.2546391227245
SSMC,demos.PhylogeneticTree$Builder,exec_35,2,-1258.2930550622289
SSMC,demos.PhylogeneticTree$Builder,exec_35,3,-1261.474727473647
SSMC,demos.PhylogeneticTree$Builder,exec_35,4,-1030.45628980046
SSMC,demos.PhylogeneticTree$Builder,exec_35,5,-999.9172718117887
SSMC,demos.PhylogeneticTree$Builder,exec_35,6,-964.8635721873784
SSMC,demos.PhylogeneticTree$Builder,exec_35,7,-900.9498261815434
SSMC,demos.PhylogeneticTree$Builder,exec_35,8,-907.0425059478839
SSMC,demos.PhylogeneticTree$Builder,exec_35,9,-895.9388791690827
SSMC,demos.PhylogeneticTree$Builder,exec_35,10,-899.964124975379
SSMC,demos.PhylogeneticTree$Builder,exec_35,11,-895.7095618627329
SSMC,demos.PhylogeneticTree$Builder,exec_35,12,-893.9242189502144
SSMC,demos.PhylogeneticTree$Builder,exec_35,13,-895.6479905420418
SSMC,demos.PhylogeneticTree$Builder,exec_35,14,-894.5293231066775
PT-20,demos.DiscreteMultimodal$Builder,exec_19,0,4.006552184806658
PT-20,demos.DiscreteMultimodal$Builder,exec_19,1,4.548260859016385
PT-20,demos.DiscreteMultimodal$Builder,exec_19,2,4.209351695967047
PT-20,demos.DiscreteMultimodal$Builder,exec_19,3,4.225080644132706
PT-20,demos.DiscreteMultimodal$Builder,exec_19,4,4.132078901683476
PT-20,demos.DiscreteMultimodal$Builder,exec_19,5,4.194389174894523
PT-20,demos.DiscreteMultimodal$Builder,exec_19,6,4.233106972397911
PT-20,demos.DiscreteMultimodal$Builder,exec_19,7,4.234968693040871
PT-20,demos.DiscreteMultimodal$Builder,exec_19,8,4.196958905449123
PT-20,demos.DiscreteMultimodal$Builder,exec_19,9,4.211387930999118
PT-20,demos.DiscreteMultimodal$Builder,exec_19,10,4.1978032951939825
PT-20,demos.DiscreteMultimodal$Builder,exec_19,11,4.193494558039959
PT-20,demos.DiscreteMultimodal$Builder,exec_19,12,4.205770185746857
PT-20,demos.DiscreteMultimodal$Builder,exec_19,13,4.204559561172749
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,0,29.993911260344685
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,1,29.819784883517112
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,2,32.572674185253476
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,3,34.29822205996635
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,4,34.71969763316209
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,5,33.36266415854895
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,6,33.426212096282256
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,7,33.302527364336775
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,8,33.30979621096866
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,9,33.377901418997375
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,10,33.30752729008298
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,11,33.39930010485513
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,12,33.405538037828656
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,13,33.3658940371901
SAIS,blang.validation.internals.fixtures.Ising$Builder,exec_9,14,33.37619850400906
PT-20,demos.UnidentifiableProduct$Builder,exec_18,0,-118.20514280055122
PT-20,demos.UnidentifiableProduct$Builder,exec_18,1,-110.98993125482134
PT-20,demos.UnidentifiableProduct$Builder,exec_18,2,-13.972277918952827
PT-20,demos.UnidentifiableProduct$Builder,exec_18,3,-12.651638748747905
PT-20,demos.UnidentifiableProduct$Builder,exec_18,4,-12.129705487185173
PT-20,demos.UnidentifiableProduct$Builder,exec_18,5,-11.574327864854903
PT-20,demos.UnidentifiableProduct$Builder,exec_18,6,-11.889377751036712
PT-20,demos.UnidentifiableProduct$Builder,exec_18,7,-11.752524414490775
PT-20,demos.UnidentifiableProduct$Builder,exec_18,8,-11.903531425896077
PT-20,demos.UnidentifiableProduct$Builder,exec_18,9,-11.902124737414887
PT-20,demos.UnidentifiableProduct$Builder,exec_18,10,-11.847314366265806
PT-20,demos.UnidentifiableProduct$Builder,exec_18,11,-11.885217927834876
PT-20,demos.UnidentifiableProduct$Builder,exec_18,12,-11.862625188015464
PT-20,demos.UnidentifiableProduct$Builder,exec_18,13,-11.880363301359285
SAIS,demos.UnidentifiableProduct$Builder,exec_1,0,-2165.4961302229385
SAIS,demos.UnidentifiableProduct$Builder,exec_1,1,-51.80440822204381
SAIS,demos.UnidentifiableProduct$Builder,exec_1,2,-9.799209455344535
SAIS,demos.UnidentifiableProduct$Builder,exec_1,3,-11.600784291227889
SAIS,demos.UnidentifiableProduct$Builder,exec_1,4,-12.23261517276933
SAIS,demos.UnidentifiableProduct$Builder,exec_1,5,-11.812883382785493
SAIS,demos.UnidentifiableProduct$Builder,exec_1,6,-12.018359419923875
SAIS,demos.UnidentifiableProduct$Builder,exec_1,7,-11.85414019880886
SAIS,demos.UnidentifiableProduct$Builder,exec_1,8,-11.77726296198778
SAIS,demos.UnidentifiableProduct$Builder,exec_1,9,-11.807575991065097
SAIS,demos.UnidentifiableProduct$Builder,exec_1,10,-11.823910222130927
SAIS,demos.UnidentifiableProduct$Builder,exec_1,11,-11.894459275055604
SAIS,demos.UnidentifiableProduct$Builder,exec_1,12,-11.91522052077894
