method,model,execFolder,isAdapt,round,chain,value
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,14,1.9047319290712382E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,15,3.6029816528761176E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,16,7.853793744877667E-7
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,17,1.35778589341746E-6
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,18,2.4539853986265383E-6
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,19,4.772620657158865E-6
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,20,6.859112081527877E-6
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,21,9.539485846537556E-6
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,22,1.4726858540621946E-5
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,23,2.2424648269114788E-5
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,24,3.648465349936663E-5
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,25,6.331454194303211E-5
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,26,1.1662482792603344E-4
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,27,1.968987884300251E-4
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,28,2.9522903701964764E-4
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,29,3.8114920598425353E-4
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,30,5.035775237424226E-4
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,31,0.001102527770037392
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,32,0.0029313867559855
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,33,0.0047692724267507135
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,34,0.00651177454304665
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,35,0.00860971684561367
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,36,0.011195719853144626
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,37,0.014117866468068067
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,38,0.018005396413552928
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,39,0.02415280500419864
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,40,0.029666550252889553
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,41,0.036504207579510006
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,42,0.04460260406729945
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,43,0.054338987007891776
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,44,0.06394904089344745
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,45,0.07162684030364008
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,46,0.07812596636616342
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,47,0.08340010059401973
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,48,0.08769668166430951
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,49,0.0917167513402903
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,50,0.09595562901064107
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,51,0.10010651982365987
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,52,0.10422242268327293
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,53,0.10832634503544222
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,54,0.11231210924261503
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,55,0.11601698893211304
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,56,0.11912653014610888
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,57,0.12196821979873305
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,58,0.12460617016325903
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,59,0.1272975197239058
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,60,0.12992772233025585
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,61,0.1321610522055957
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,62,0.13436297600365232
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,63,0.1365108542077324
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,64,0.1385005610913875
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,65,0.1404909982314663
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,66,0.1425054589120178
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,67,0.14455553553895842
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,68,0.14659854403058947
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,69,0.1485915963723043
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,70,0.15076785260010717
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,71,0.15316017301149176
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,72,0.1558028079191138
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,73,0.15880348082945198
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,74,0.16223169210764626
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,75,0.16611139646062562
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,76,0.17059721185881999
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,77,0.1760642143890747
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,78,0.1826994830579585
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,79,0.19080987426383475
SSMC,ode.MRNATransfection$Builder,exec_20,true,8,80,0.19896432485631196
