method,model,execFolder,round,iteration,annealingParameter,logNormalization,deltaIterations,deltaAnnealingParameter
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,11,0.39024934923496435,-349.7328007715898,1,0.08103541420789567
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,12,0.4642733337399719,-435.12793508513624,1,0.07402398450500758
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,13,0.5296850134886566,-512.3865582028735,1,0.06541167974868467
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,14,0.5773777727122226,-579.3106489491626,1,0.04769275922356597
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,15,0.6007308398181984,-627.3510289248069,1,0.023353067105975844
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,17,0.6764189345322534,-686.9754876194004,2,0.07568809471405502
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,18,0.7014801436424503,-724.9690097603604,1,0.025061209110196825
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,20,0.7796376581144819,-777.8698254827077,2,0.07815751447203168
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,21,0.8465411288929288,-823.9787823940097,1,0.06690347077844683
SSMC,demos.PhylogeneticTree$Builder,exec_30,4,22,0.9416064409572932,-887.0870598890793,1,0.09506531206436442
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,1,0.0014873840223064503,-1.5802863398805749,1,0.0014873840223064503
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,2,0.0026182369376962005,-3.1878418529679835,1,0.0011308529153897502
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,3,0.00464768177634072,-5.038776555541134,1,0.0020294448386445193
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,4,0.00877427057944839,-8.004203755017024,1,0.004126588803107669
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,5,0.015285251535486712,-13.613603879898339,1,0.006510980956038323
SSMC,demos.PhylogeneticTree$Builder,exec_30,5,6,0.025846832883585844,-22.17765771082552,1,0.010561581348099132
