method,model,execFolder,round,isAdapt,beta,value
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.03,8.067583624615793E-5
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.04,6.195818654575191E-5
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.05,4.5809303127697376E-5
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.06,3.222918595469082E-5
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.07,2.12178350409431E-5
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.08,1.2775250372243363E-5
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.09,6.901431964578819E-6
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.1,3.596379825054896E-6
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.11,2.8600939288025984E-6
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.12,0.2192449174193678
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.13,0.5103448294467268
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.14,0.7889812917101624
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.15,1.0551543042096734
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.16,1.3088638669452581
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.17,1.5501099799169222
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.18,1.778892643124661
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.19,1.9952118565684764
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.2,2.199067620248366
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.21,2.3904599341643333
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.22,2.5693887983163775
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.23,2.7358542127044947
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.24,2.8898561773286904
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.25,3.031394692188961
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.26,3.160469757285308
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.27,3.277081372617733
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.28,3.3812295381862283
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.29,3.472914253990801
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.3,3.552135520031456
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.31,3.618893336308183
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.32,3.673187702820983
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.33,3.715018619569861
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.34,3.7443860865548144
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.35,3.761290103775849
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.36,3.765730671232957
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.37,3.7577077889261368
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.38,3.7372214568553943
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.39,3.704271675020733
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.4,3.658858443422143
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.41,3.6009817620596296
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.42,3.530641630933192
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.43,3.4478380500428303
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.44,3.3525710193885443
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.45,3.244840538970335
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.46,3.124646608788202
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.47,2.9919892288421446
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.48,2.8468683991321617
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.49,2.6892841196582586
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.5,2.519236390420427
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.51,2.3367252114186736
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.52,2.1417505826529966
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.53,1.9343125041233944
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.54,1.7144109758298691
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.55,1.197144662714063
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.56,0.704865383120044
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.57,0.37498541152284304
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.58,0.20750474792244233
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.59,0.2024233923188632
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.6,0.35765721743997825
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.61,0.2862451506441914
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.62,0.22497917193187789
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.63,0.17385928130303796
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.64,0.13288547875765033
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.65,0.10205776429574343
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.66,0.08137613791728171
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.67,0.07084059962231137
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.68,0.07045114941078978
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.69,0.06466363727764435
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.7,0.05763224046301296
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.71,0.06128648389930191
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.72,0.07562636758648367
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.73,0.10065189152459197
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.74,0.13636305571358776
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.75,0.18275986015350298
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.76,0.2398423048443128
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.77,0.30761038978605626
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.78,0.3860641149786801
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.79,0.47520348042223404
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.8,0.5750284861166861
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.81,0.6855391320620434
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.82,0.8067354182583184
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.83,0.9386173447054977
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.84,1.081184911403577
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.85,2.4797167793327715
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.86,3.8532052206760135
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.87,5.077326606862719
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.88,6.1520809378929044
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.89,7.077468213766551
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.9,7.85348843448369
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.91,8.480141600044284
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.92,8.957427710448368
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.93,9.285346765695927
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.94,9.463898765786958
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.95,9.493083710721457
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.96,9.372901600499432
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.97,9.10335243512089
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.98,8.68443621458582
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.99,8.116152938894224
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.01,31.497251290920985
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.02,12.403341685626947
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.03,11.691671874618175
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.04,11.002313523185585
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.05,10.335266631329194
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.06,9.690531199049001
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.07,9.068107226344996
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.08,8.467994713217182
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.09,7.890193659665567
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.1,7.33470406569015
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.11,6.801525931290915
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.12,6.290659256467875
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.13,5.8021040412210345
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.14,5.335860285550387
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.15,4.891927989455935
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.16,4.47030715293767
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.17,4.0709977759956
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.18,3.693999858629727
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.19,3.33931340084005
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.2,3.006938402626556
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.21,2.6968748639892652
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.22,2.40912278492816
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.23,2.143682165443252
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.24,1.900553005534542
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.25,1.679735305202021
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.26,1.481229064445694
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.27,1.3050342832655595
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.28,1.1511509616616191
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.29,1.0195790996338783
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.3,0.9103186971823192
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.31,0.8233697543069614
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.32,0.7587322710077959
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.33,0.7164062472848212
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.34,0.6963916831380459
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.35,0.6986885785674559
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.36,0.7232969335730659
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.37,0.7702167481548674
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.38,0.8394480223128609
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.39,0.7079028474987918
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.4,0.5298527650253781
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.41,0.4089853491082174
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.42,0.34530059974725447
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.43,0.33879851694253205
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.44,0.38947910069404656
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.45,0.4973423510017625
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.46,0.6623882678657296
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.47,0.8846168512859265
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.48,1.164028101262339
