method,model,execFolder,round,isAdapt,beta,value
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.73,2.671547986894022
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.74,2.6727241569300038
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.75,2.6743108668091304
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.76,2.67641497293391
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.77,2.6791433317068534
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.78,2.6826027995304673
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.79,2.686900232807263
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.8,2.6921424879397486
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.81,2.698436421330433
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.82,2.705888889381826
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.83,2.714606748496436
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.84,2.7246968550767723
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.85,2.7420576988711325
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.86,2.77384678141714
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.87,2.8186239131007973
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.88,2.874895423370539
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.89,2.9411676416748
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.9,3.0159468974620154
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.91,3.0977395201806193
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.92,3.185051839279046
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.93,3.2763901842057317
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.94,3.370260884409109
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.95,3.465170269337615
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.96,3.5596246684396835
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.97,3.6521304111637485
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.98,3.741193826958246
SSMC,ode.MRNATransfection$Builder,exec_20,1,true,0.99,3.8253212452716108
SSMC,ode.MRNATransfection$Builder,exec_20,2,true,0.01,2.0630993762789895
