method,model,execFolder,round,isAdapt,nExplorationSteps,value
SAIS,demos.ToyMix$Builder,exec_8,3,true,867.0,45
SAIS,demos.ToyMix$Builder,exec_8,4,true,1875.0,43
SAIS,demos.ToyMix$Builder,exec_8,5,true,3888.0,57
SAIS,demos.ToyMix$Builder,exec_8,6,true,7803.0,95
SAIS,demos.ToyMix$Builder,exec_8,7,true,15987.0,109
SAIS,demos.ToyMix$Builder,exec_8,8,true,32448.0,187
SAIS,demos.ToyMix$Builder,exec_8,9,true,65712.0,264
SAIS,demos.ToyMix$Builder,exec_8,10,true,132300.0,395
SAIS,demos.ToyMix$Builder,exec_8,11,true,264627.0,501
SAIS,demos.ToyMix$Builder,exec_8,12,true,531723.0,1296
SAIS,demos.ToyMix$Builder,exec_8,13,true,1065648.0,1173
SAIS,demos.ToyMix$Builder,exec_8,14,false,2131947.0,2320
SSMC,ode.MRNATransfection$Builder,exec_27,0,true,375.0,140
SSMC,ode.MRNATransfection$Builder,exec_27,1,true,960.0,66
SSMC,ode.MRNATransfection$Builder,exec_27,2,true,2160.0,133
SSMC,ode.MRNATransfection$Builder,exec_27,3,true,4335.0,186
SSMC,ode.MRNATransfection$Builder,exec_27,4,true,9375.0,194
SSMC,ode.MRNATransfection$Builder,exec_27,5,true,19440.0,257
SSMC,ode.MRNATransfection$Builder,exec_27,6,true,39015.0,337
SSMC,ode.MRNATransfection$Builder,exec_27,7,true,79935.0,637
SSMC,ode.MRNATransfection$Builder,exec_27,8,true,162240.0,1148
SSMC,ode.MRNATransfection$Builder,exec_27,9,true,328560.0,2139
SSMC,ode.MRNATransfection$Builder,exec_27,10,true,661500.0,3938
SSMC,ode.MRNATransfection$Builder,exec_27,11,true,1323135.0,7502
SSMC,ode.MRNATransfection$Builder,exec_27,12,true,2658615.0,14435
SSMC,ode.MRNATransfection$Builder,exec_27,13,true,5328240.0,28879
SSMC,ode.MRNATransfection$Builder,exec_27,14,false,1.0659735E7,56971
PT-10,hier.HierarchicalRockets$Builder,exec_42,0,true,33210,774
PT-10,hier.HierarchicalRockets$Builder,exec_42,1,true,55350,199
PT-10,hier.HierarchicalRockets$Builder,exec_42,2,true,110700,379
PT-10,hier.HierarchicalRockets$Builder,exec_42,3,true,221400,682
PT-10,hier.HierarchicalRockets$Builder,exec_42,4,true,442800,1031
PT-10,hier.HierarchicalRockets$Builder,exec_42,5,true,885600,2155
PT-10,hier.HierarchicalRockets$Builder,exec_42,6,true,1771200,4116
PT-10,hier.HierarchicalRockets$Builder,exec_42,7,true,3542400,8004
PT-10,hier.HierarchicalRockets$Builder,exec_42,8,true,7084800,16042
PT-10,hier.HierarchicalRockets$Builder,exec_42,9,true,14169600,32097
PT-10,hier.HierarchicalRockets$Builder,exec_42,10,true,28339200,62258
PT-10,hier.HierarchicalRockets$Builder,exec_42,11,true,56678400,124718
PT-10,hier.HierarchicalRockets$Builder,exec_42,12,true,113367870,248818
